timestamp,car_id,speed,ip,distance,time,ram

2025-04-19T07:48:11.082001,0414F6CB,42,62.145.213.138,41.13,58.76,0.01
2025-04-19T07:48:11.082001,0414F6CB,63,62.145.213.138,40.88,38.93,0.01
2025-04-19T07:48:11.086529,06A2678A,84,139.167.112.217,56.23,40.17,0.01
2025-04-19T07:48:11.086529,06D2ADA9,61,11.211.59.175,95.01,93.45,0.01
2025-04-19T07:48:11.086529,06D2ADA9,43,11.211.59.175,35.65,49.74,0.01
2025-04-19T07:48:11.086529,06D2ADA9,87,11.211.59.175,53.85,37.13,0.01
2025-04-19T07:48:11.091460,09119E3E,108,11.210.134.196,10.00,5.56,0.01
2025-04-19T07:48:11.091460,09119E3E,92,11.210.134.196,4.48,2.92,0.01
2025-04-19T07:48:11.091460,098B0BDE,98,230.236.150.119,27.39,16.77,0.01
2025-04-19T07:48:11.091460,098B0BDE,39,230.236.150.119,67.11,103.25,0.01
2025-04-19T07:48:11.091460,0A9F0B6C,106,159.47.40.252,53.80,30.45,0.01
2025-04-19T07:48:11.095938,0A9F0B6C,50,159.47.40.252,37.93,45.52,0.01
2025-04-19T07:48:11.097374,10BA9435,107,11.139.189.181,90.17,50.56,0.01
2025-04-19T07:48:11.097374,10BA9435,64,11.139.189.181,72.19,67.68,0.01
2025-04-19T07:48:11.099657,10BA9435,54,11.139.189.181,98.68,109.64,0.01
2025-04-19T07:48:11.099657,10BA9435,35,11.139.189.181,39.39,67.53,0.01
2025-04-19T07:48:11.099657,15190330,83,114.134.187.198,60.44,43.70,0.01
2025-04-19T07:48:11.099657,15190330,52,114.134.187.198,36.30,41.88,0.01
2025-04-19T07:48:11.102642,17725CF7,108,44.83.245.133,57.62,32.01,0.01
2025-04-19T07:48:11.104291,17725CF7,36,44.83.245.133,12.50,20.83,0.01
2025-04-19T07:48:11.104291,18C2D705,92,38.79.245.147,62.97,41.07,0.01
2025-04-19T07:48:11.104291,1999D7C8,53,224.190.192.249,72.97,82.61,0.01
2025-04-19T07:48:11.104291,1999D7C8,86,224.190.192.249,99.82,69.64,0.01
2025-04-19T07:48:11.104291,20DFB290,67,184.113.0.32,43.79,39.22,0.01
2025-04-19T07:48:11.108010,20DFB290,78,184.113.0.32,32.25,24.80,0.01
2025-04-19T07:48:11.109324,20DFB290,59,184.113.0.32,1.04,1.05,0.01
2025-04-19T07:48:11.109324,217957C3,40,224.55.63.10,4.25,6.37,0.01
2025-04-19T07:48:11.111227,2212F2D8,57,240.220.27.44,41.37,43.55,0.01
2025-04-19T07:48:11.111227,2212F2D8,116,240.220.27.44,56.65,29.30,0.01
2025-04-19T07:48:11.111227,2212F2D8,78,240.220.27.44,33.26,25.58,0.01
2025-04-19T07:48:11.111227,25ED089F,105,177.24.83.153,53.50,30.57,0.01
2025-04-19T07:48:11.111227,25ED089F,100,177.24.83.153,50.21,30.13,0.01
2025-04-19T07:48:11.111227,25ED089F,112,177.24.83.153,46.04,24.67,0.01
2025-04-19T07:48:11.111227,25ED089F,34,177.24.83.153,18.71,33.02,0.01
2025-04-19T07:48:11.116985,25ED089F,31,177.24.83.153,43.57,84.32,0.01
2025-04-19T07:48:11.125101,25ED089F,51,177.24.83.153,20.37,23.96,0.01
2025-04-19T07:48:11.125101,30E3F206,96,53.198.211.68,38.45,24.03,0.01
2025-04-19T07:48:11.125101,30E3F206,61,53.198.211.68,43.17,42.46,0.01
2025-04-19T07:48:11.125101,3AEF1D47,35,62.185.38.227,26.84,46.01,0.01
2025-04-19T07:48:11.125101,3AEF1D47,51,62.185.38.227,92.08,108.33,0.01
2025-04-19T07:48:11.133137,3AEF1D47,38,62.185.38.227,4.82,7.60,0.01
2025-04-19T07:48:11.133137,3D0ED088,76,99.121.73.95,76.91,60.72,0.01
